ACTS,Cases_count,Case_Category,State,ShortExplanationOfAct,ShortExplanationOfCase
"Banking Regulation Act, 1949",267,Religious Law,Chhattisgarh,Governs banking policies and financial transactions.,Concerns legal matters governed by personal laws of different religions.
"Contract Act, 1872",139,Taxation,Kerala,Governs contractual agreements and breach of contract cases.,"Covers disputes regarding income tax, GST, and corporate taxation."
"Hindu Marriage Act, 1955",291,Environmental,Rajasthan,"Regulates marriage, divorce, and inheritance in Hindu families.",Deals with violations of environmental laws and pollution control.
"Arbitration and Conciliation Act, 1996",241,Banking Fraud,West Bengal,Regulates arbitration for dispute resolution outside courts.,Covers cases of loan defaults and financial misrepresentation.
"Prevention of Corruption Act, 1988",22,Banking Fraud,Rajasthan,Deals with bribery and corruption among public officials.,Covers cases of loan defaults and financial misrepresentation.
"Civil Procedure Code, 1908",387,Consumer Dispute,Andhra Pradesh,Governs civil litigation and procedures in Indian courts.,Concerns cases of defective products and unfair trade practices.
"Income Tax Act, 1961",337,Arbitration,Haryana,Regulates taxation on income earned in India.,Settles disputes outside courts through mutual agreement.
"Banking Regulation Act, 1949",112,Cybercrime,Delhi,Governs banking policies and financial transactions.,"Covers hacking, identity theft, and online fraud cases."
"Civil Procedure Code, 1908",423,Anti-Corruption,Punjab,Governs civil litigation and procedures in Indian courts.,Involves bribery and misuse of power in government offices.
"National Green Tribunal Act, 2010",187,Cybercrime,Karnataka,Establishes special courts for environmental disputes.,"Covers hacking, identity theft, and online fraud cases."
"Contract Act, 1872",332,Domestic Violence,Rajasthan,Governs contractual agreements and breach of contract cases.,"Deals with physical, emotional, and financial abuse in families."
"Indian Penal Code, 1860",325,Cybercrime,Gujarat,Defines criminal offenses and penalties in India.,"Covers hacking, identity theft, and online fraud cases."
"National Green Tribunal Act, 2010",32,Anti-Corruption,Haryana,Establishes special courts for environmental disputes.,Involves bribery and misuse of power in government offices.
"Juvenile Justice Act, 2015",129,Environmental Violation,Jharkhand,Defines legal provisions for minors involved in crimes.,"Involves pollution, illegal deforestation, and climate-related cases."
"Information Technology Act, 2000",152,Taxation,Madhya Pradesh,Addresses cybercrimes and electronic transactions.,"Covers disputes regarding income tax, GST, and corporate taxation."
"Juvenile Justice Act, 2015",228,Banking Fraud,Tamil Nadu,Defines legal provisions for minors involved in crimes.,Covers cases of loan defaults and financial misrepresentation.
"Banking Regulation Act, 1949",469,Religious Law,Andhra Pradesh,Governs banking policies and financial transactions.,Concerns legal matters governed by personal laws of different religions.
"Criminal Procedure Code, 1973",205,Taxation,Tamil Nadu,Lays down the procedure for criminal trials and investigations.,"Covers disputes regarding income tax, GST, and corporate taxation."
"Contract Act, 1872",397,Civil,Chhattisgarh,Governs contractual agreements and breach of contract cases.,"Deals with disputes related to property, contracts, and defamation."
"Protection of Women from Domestic Violence Act, 2005",124,Corporate,Assam,Provides protection and legal recourse for domestic abuse victims.,Involves legal matters related to businesses and trade practices.
"Income Tax Act, 1961",295,Environmental Violation,Odisha,Regulates taxation on income earned in India.,"Involves pollution, illegal deforestation, and climate-related cases."
"Civil Procedure Code, 1908",307,RTI Cases,Assam,Governs civil litigation and procedures in Indian courts.,Involves cases where public authorities deny access to information.
"National Green Tribunal Act, 2010",374,Anti-Corruption,Telangana,Establishes special courts for environmental disputes.,Involves bribery and misuse of power in government offices.
"Companies Act, 2013",321,Business Law,Jharkhand,Regulates corporate governance and business operations in India.,Concerns legal regulations for business operations.
"Arbitration and Conciliation Act, 1996",292,RTI Cases,Telangana,Regulates arbitration for dispute resolution outside courts.,Involves cases where public authorities deny access to information.
"Banking Regulation Act, 1949",281,Consumer Dispute,Assam,Governs banking policies and financial transactions.,Concerns cases of defective products and unfair trade practices.
"Factories Act, 1948",205,Consumer Dispute,Andhra Pradesh,Ensures worker safety and regulates factory labor laws.,Concerns cases of defective products and unfair trade practices.
"Environment Protection Act, 1986",251,Banking Fraud,Kerala,Lays down guidelines for environmental protection and pollution control.,Covers cases of loan defaults and financial misrepresentation.
"Civil Procedure Code, 1908",418,Cybercrime,Rajasthan,Governs civil litigation and procedures in Indian courts.,"Covers hacking, identity theft, and online fraud cases."
"Indian Penal Code, 1860",217,Corporate,Andhra Pradesh,Defines criminal offenses and penalties in India.,Involves legal matters related to businesses and trade practices.
"Consumer Protection Act, 2019",71,Business Law,Maharashtra,Protects consumer rights and addresses unfair trade practices.,Concerns legal regulations for business operations.
"Arbitration and Conciliation Act, 1996",303,Arbitration,Uttarakhand,Regulates arbitration for dispute resolution outside courts.,Settles disputes outside courts through mutual agreement.
"Arbitration and Conciliation Act, 1996",228,Motor Accident,Uttar Pradesh,Regulates arbitration for dispute resolution outside courts.,Involves compensation claims for road accident victims.
"Contract Act, 1872",239,Environmental,Madhya Pradesh,Governs contractual agreements and breach of contract cases.,Deals with violations of environmental laws and pollution control.
"Prevention of Corruption Act, 1988",248,Motor Accident,Kerala,Deals with bribery and corruption among public officials.,Involves compensation claims for road accident victims.
"Motor Vehicles Act, 1988",36,Civil,Telangana,"Regulates motor vehicle laws, accidents, and compensation.","Deals with disputes related to property, contracts, and defamation."
"National Green Tribunal Act, 2010",169,Civil,Uttarakhand,Establishes special courts for environmental disputes.,"Deals with disputes related to property, contracts, and defamation."
"Hindu Marriage Act, 1955",477,Domestic Violence,Punjab,"Regulates marriage, divorce, and inheritance in Hindu families.","Deals with physical, emotional, and financial abuse in families."
"Muslim Personal Law (Shariat) Application Act, 1937",150,Consumer Dispute,Andhra Pradesh,Applies Islamic laws to Muslim personal matters.,Concerns cases of defective products and unfair trade practices.
"Factories Act, 1948",68,Arbitration,Haryana,Ensures worker safety and regulates factory labor laws.,Settles disputes outside courts through mutual agreement.
"Banking Regulation Act, 1949",488,Taxation,Uttar Pradesh,Governs banking policies and financial transactions.,"Covers disputes regarding income tax, GST, and corporate taxation."
"Hindu Marriage Act, 1955",124,Domestic Violence,Punjab,"Regulates marriage, divorce, and inheritance in Hindu families.","Deals with physical, emotional, and financial abuse in families."
"Factories Act, 1948",129,Juvenile Crime,Uttarakhand,Ensures worker safety and regulates factory labor laws.,Covers criminal offenses committed by minors.
"Civil Procedure Code, 1908",346,Environmental,Jharkhand,Governs civil litigation and procedures in Indian courts.,Deals with violations of environmental laws and pollution control.
"Motor Vehicles Act, 1988",317,Criminal,Gujarat,"Regulates motor vehicle laws, accidents, and compensation.","Involves crimes such as theft, assault, and fraud."
"Criminal Procedure Code, 1973",264,Banking Fraud,Jharkhand,Lays down the procedure for criminal trials and investigations.,Covers cases of loan defaults and financial misrepresentation.
"Prevention of Corruption Act, 1988",373,Arbitration,Assam,Deals with bribery and corruption among public officials.,Settles disputes outside courts through mutual agreement.
"Protection of Women from Domestic Violence Act, 2005",469,Arbitration,Bihar,Provides protection and legal recourse for domestic abuse victims.,Settles disputes outside courts through mutual agreement.
"Muslim Personal Law (Shariat) Application Act, 1937",199,Criminal,Haryana,Applies Islamic laws to Muslim personal matters.,"Involves crimes such as theft, assault, and fraud."
"Contract Act, 1872",7,Domestic Violence,Telangana,Governs contractual agreements and breach of contract cases.,"Deals with physical, emotional, and financial abuse in families."
"Muslim Personal Law (Shariat) Application Act, 1937",20,Anti-Corruption,Maharashtra,Applies Islamic laws to Muslim personal matters.,Involves bribery and misuse of power in government offices.
"Consumer Protection Act, 2019",351,RTI Cases,Haryana,Protects consumer rights and addresses unfair trade practices.,Involves cases where public authorities deny access to information.
"Hindu Marriage Act, 1955",358,Criminal,Kerala,"Regulates marriage, divorce, and inheritance in Hindu families.","Involves crimes such as theft, assault, and fraud."
"Arbitration and Conciliation Act, 1996",120,Taxation,West Bengal,Regulates arbitration for dispute resolution outside courts.,"Covers disputes regarding income tax, GST, and corporate taxation."
"Consumer Protection Act, 2019",371,Cybercrime,Uttarakhand,Protects consumer rights and addresses unfair trade practices.,"Covers hacking, identity theft, and online fraud cases."
"Criminal Procedure Code, 1973",135,Family Law,Bihar,Lays down the procedure for criminal trials and investigations.,"Handles disputes related to marriage, divorce, and custody."
"Factories Act, 1948",282,Business Law,Odisha,Ensures worker safety and regulates factory labor laws.,Concerns legal regulations for business operations.
"National Green Tribunal Act, 2010",327,Taxation,Uttar Pradesh,Establishes special courts for environmental disputes.,"Covers disputes regarding income tax, GST, and corporate taxation."
"Juvenile Justice Act, 2015",307,Anti-Corruption,Telangana,Defines legal provisions for minors involved in crimes.,Involves bribery and misuse of power in government offices.
"Muslim Personal Law (Shariat) Application Act, 1937",104,Family Law,Odisha,Applies Islamic laws to Muslim personal matters.,"Handles disputes related to marriage, divorce, and custody."
"Arbitration and Conciliation Act, 1996",102,Banking Fraud,Gujarat,Regulates arbitration for dispute resolution outside courts.,Covers cases of loan defaults and financial misrepresentation.
"National Green Tribunal Act, 2010",245,Cybercrime,Bihar,Establishes special courts for environmental disputes.,"Covers hacking, identity theft, and online fraud cases."
"Income Tax Act, 1961",160,Motor Accident,Karnataka,Regulates taxation on income earned in India.,Involves compensation claims for road accident victims.
"Right to Information Act, 2005",438,Cybercrime,Karnataka,Grants citizens access to government records and transparency.,"Covers hacking, identity theft, and online fraud cases."
"Arbitration and Conciliation Act, 1996",387,Business Law,Kerala,Regulates arbitration for dispute resolution outside courts.,Concerns legal regulations for business operations.
"Indian Penal Code, 1860",417,Juvenile Crime,West Bengal,Defines criminal offenses and penalties in India.,Covers criminal offenses committed by minors.
"Juvenile Justice Act, 2015",488,Domestic Violence,Odisha,Defines legal provisions for minors involved in crimes.,"Deals with physical, emotional, and financial abuse in families."
"Contract Act, 1872",193,Motor Accident,Haryana,Governs contractual agreements and breach of contract cases.,Involves compensation claims for road accident victims.
"Environment Protection Act, 1986",431,RTI Cases,Tamil Nadu,Lays down guidelines for environmental protection and pollution control.,Involves cases where public authorities deny access to information.
"Muslim Personal Law (Shariat) Application Act, 1937",247,Cybercrime,Madhya Pradesh,Applies Islamic laws to Muslim personal matters.,"Covers hacking, identity theft, and online fraud cases."
"Arbitration and Conciliation Act, 1996",319,Arbitration,Chhattisgarh,Regulates arbitration for dispute resolution outside courts.,Settles disputes outside courts through mutual agreement.
"Factories Act, 1948",494,Anti-Corruption,Haryana,Ensures worker safety and regulates factory labor laws.,Involves bribery and misuse of power in government offices.
"Factories Act, 1948",396,Arbitration,Madhya Pradesh,Ensures worker safety and regulates factory labor laws.,Settles disputes outside courts through mutual agreement.
"Consumer Protection Act, 2019",149,Business Law,West Bengal,Protects consumer rights and addresses unfair trade practices.,Concerns legal regulations for business operations.
"Civil Procedure Code, 1908",375,Taxation,Uttarakhand,Governs civil litigation and procedures in Indian courts.,"Covers disputes regarding income tax, GST, and corporate taxation."
"Indian Penal Code, 1860",477,Business Law,Jharkhand,Defines criminal offenses and penalties in India.,Concerns legal regulations for business operations.
"Banking Regulation Act, 1949",78,Environmental,Tamil Nadu,Governs banking policies and financial transactions.,Deals with violations of environmental laws and pollution control.
"Protection of Women from Domestic Violence Act, 2005",340,Family Law,Madhya Pradesh,Provides protection and legal recourse for domestic abuse victims.,"Handles disputes related to marriage, divorce, and custody."
"Companies Act, 2013",15,Environmental,West Bengal,Regulates corporate governance and business operations in India.,Deals with violations of environmental laws and pollution control.
"Arbitration and Conciliation Act, 1996",325,Banking Fraud,Delhi,Regulates arbitration for dispute resolution outside courts.,Covers cases of loan defaults and financial misrepresentation.
"Banking Regulation Act, 1949",465,Labor Dispute,Chhattisgarh,Governs banking policies and financial transactions.,Concerns workplace disputes between employees and employers.
"Consumer Protection Act, 2019",34,Environmental Violation,Assam,Protects consumer rights and addresses unfair trade practices.,"Involves pollution, illegal deforestation, and climate-related cases."
"Environment Protection Act, 1986",297,Juvenile Crime,Delhi,Lays down guidelines for environmental protection and pollution control.,Covers criminal offenses committed by minors.
"Income Tax Act, 1961",184,Taxation,Madhya Pradesh,Regulates taxation on income earned in India.,"Covers disputes regarding income tax, GST, and corporate taxation."
"Income Tax Act, 1961",475,Civil,Kerala,Regulates taxation on income earned in India.,"Deals with disputes related to property, contracts, and defamation."
"Arbitration and Conciliation Act, 1996",35,Taxation,Maharashtra,Regulates arbitration for dispute resolution outside courts.,"Covers disputes regarding income tax, GST, and corporate taxation."
"Indian Penal Code, 1860",195,Anti-Corruption,Kerala,Defines criminal offenses and penalties in India.,Involves bribery and misuse of power in government offices.
"Environment Protection Act, 1986",295,Family Law,Karnataka,Lays down guidelines for environmental protection and pollution control.,"Handles disputes related to marriage, divorce, and custody."
"Muslim Personal Law (Shariat) Application Act, 1937",444,Labor Dispute,Assam,Applies Islamic laws to Muslim personal matters.,Concerns workplace disputes between employees and employers.
"Protection of Women from Domestic Violence Act, 2005",257,Taxation,Madhya Pradesh,Provides protection and legal recourse for domestic abuse victims.,"Covers disputes regarding income tax, GST, and corporate taxation."
"Motor Vehicles Act, 1988",361,Labor Dispute,Gujarat,"Regulates motor vehicle laws, accidents, and compensation.",Concerns workplace disputes between employees and employers.
"Civil Procedure Code, 1908",452,Arbitration,Andhra Pradesh,Governs civil litigation and procedures in Indian courts.,Settles disputes outside courts through mutual agreement.
"Muslim Personal Law (Shariat) Application Act, 1937",199,Cybercrime,Assam,Applies Islamic laws to Muslim personal matters.,"Covers hacking, identity theft, and online fraud cases."
"Factories Act, 1948",259,Cybercrime,Chhattisgarh,Ensures worker safety and regulates factory labor laws.,"Covers hacking, identity theft, and online fraud cases."
"Hindu Marriage Act, 1955",306,Business Law,Bihar,"Regulates marriage, divorce, and inheritance in Hindu families.",Concerns legal regulations for business operations.
"Motor Vehicles Act, 1988",281,Anti-Corruption,West Bengal,"Regulates motor vehicle laws, accidents, and compensation.",Involves bribery and misuse of power in government offices.
"Companies Act, 2013",194,Business Law,Uttarakhand,Regulates corporate governance and business operations in India.,Concerns legal regulations for business operations.
"Muslim Personal Law (Shariat) Application Act, 1937",420,Cybercrime,Punjab,Applies Islamic laws to Muslim personal matters.,"Covers hacking, identity theft, and online fraud cases."
"Protection of Women from Domestic Violence Act, 2005",337,Religious Law,Bihar,Provides protection and legal recourse for domestic abuse victims.,Concerns legal matters governed by personal laws of different religions.
"Criminal Procedure Code, 1973",96,Consumer Dispute,Karnataka,Lays down the procedure for criminal trials and investigations.,Concerns cases of defective products and unfair trade practices.
"Factories Act, 1948",249,Religious Law,Gujarat,Ensures worker safety and regulates factory labor laws.,Concerns legal matters governed by personal laws of different religions.
"Hindu Marriage Act, 1955",21,Cybercrime,Maharashtra,"Regulates marriage, divorce, and inheritance in Hindu families.","Covers hacking, identity theft, and online fraud cases."
"Consumer Protection Act, 2019",296,Business Law,Telangana,Protects consumer rights and addresses unfair trade practices.,Concerns legal regulations for business operations.
"Prevention of Corruption Act, 1988",58,Cybercrime,Delhi,Deals with bribery and corruption among public officials.,"Covers hacking, identity theft, and online fraud cases."
"Indian Penal Code, 1860",90,Corporate,Kerala,Defines criminal offenses and penalties in India.,Involves legal matters related to businesses and trade practices.
"Information Technology Act, 2000",155,Labor Dispute,Punjab,Addresses cybercrimes and electronic transactions.,Concerns workplace disputes between employees and employers.
"Motor Vehicles Act, 1988",348,Domestic Violence,Telangana,"Regulates motor vehicle laws, accidents, and compensation.","Deals with physical, emotional, and financial abuse in families."
"Civil Procedure Code, 1908",115,Juvenile Crime,Maharashtra,Governs civil litigation and procedures in Indian courts.,Covers criminal offenses committed by minors.
"Motor Vehicles Act, 1988",162,Religious Law,Uttarakhand,"Regulates motor vehicle laws, accidents, and compensation.",Concerns legal matters governed by personal laws of different religions.
"Criminal Procedure Code, 1973",344,Corporate,Gujarat,Lays down the procedure for criminal trials and investigations.,Involves legal matters related to businesses and trade practices.
"Arbitration and Conciliation Act, 1996",148,Banking Fraud,Rajasthan,Regulates arbitration for dispute resolution outside courts.,Covers cases of loan defaults and financial misrepresentation.
"Information Technology Act, 2000",484,Taxation,Jharkhand,Addresses cybercrimes and electronic transactions.,"Covers disputes regarding income tax, GST, and corporate taxation."
"Right to Information Act, 2005",8,Anti-Corruption,Haryana,Grants citizens access to government records and transparency.,Involves bribery and misuse of power in government offices.
"Civil Procedure Code, 1908",481,Taxation,Kerala,Governs civil litigation and procedures in Indian courts.,"Covers disputes regarding income tax, GST, and corporate taxation."
"Indian Penal Code, 1860",36,Arbitration,Madhya Pradesh,Defines criminal offenses and penalties in India.,Settles disputes outside courts through mutual agreement.
"Criminal Procedure Code, 1973",255,Environmental,Uttar Pradesh,Lays down the procedure for criminal trials and investigations.,Deals with violations of environmental laws and pollution control.
"Information Technology Act, 2000",426,Taxation,Rajasthan,Addresses cybercrimes and electronic transactions.,"Covers disputes regarding income tax, GST, and corporate taxation."
"Indian Penal Code, 1860",117,Taxation,Maharashtra,Defines criminal offenses and penalties in India.,"Covers disputes regarding income tax, GST, and corporate taxation."
"Environment Protection Act, 1986",412,Business Law,Karnataka,Lays down guidelines for environmental protection and pollution control.,Concerns legal regulations for business operations.
"Banking Regulation Act, 1949",44,Criminal,Telangana,Governs banking policies and financial transactions.,"Involves crimes such as theft, assault, and fraud."
"Hindu Marriage Act, 1955",211,Juvenile Crime,Haryana,"Regulates marriage, divorce, and inheritance in Hindu families.",Covers criminal offenses committed by minors.
"Banking Regulation Act, 1949",241,Civil,Karnataka,Governs banking policies and financial transactions.,"Deals with disputes related to property, contracts, and defamation."
"Protection of Women from Domestic Violence Act, 2005",362,Banking Fraud,Madhya Pradesh,Provides protection and legal recourse for domestic abuse victims.,Covers cases of loan defaults and financial misrepresentation.
"Banking Regulation Act, 1949",153,Taxation,Maharashtra,Governs banking policies and financial transactions.,"Covers disputes regarding income tax, GST, and corporate taxation."
"Banking Regulation Act, 1949",163,Civil,Jharkhand,Governs banking policies and financial transactions.,"Deals with disputes related to property, contracts, and defamation."
"Environment Protection Act, 1986",371,Motor Accident,Andhra Pradesh,Lays down guidelines for environmental protection and pollution control.,Involves compensation claims for road accident victims.
"National Green Tribunal Act, 2010",312,RTI Cases,Delhi,Establishes special courts for environmental disputes.,Involves cases where public authorities deny access to information.
"Contract Act, 1872",179,Family Law,Rajasthan,Governs contractual agreements and breach of contract cases.,"Handles disputes related to marriage, divorce, and custody."
"Companies Act, 2013",496,Environmental Violation,Gujarat,Regulates corporate governance and business operations in India.,"Involves pollution, illegal deforestation, and climate-related cases."
"Consumer Protection Act, 2019",207,Environmental Violation,Telangana,Protects consumer rights and addresses unfair trade practices.,"Involves pollution, illegal deforestation, and climate-related cases."
"Muslim Personal Law (Shariat) Application Act, 1937",74,Consumer Dispute,West Bengal,Applies Islamic laws to Muslim personal matters.,Concerns cases of defective products and unfair trade practices.
"Factories Act, 1948",413,Business Law,Maharashtra,Ensures worker safety and regulates factory labor laws.,Concerns legal regulations for business operations.
"Environment Protection Act, 1986",110,Arbitration,Punjab,Lays down guidelines for environmental protection and pollution control.,Settles disputes outside courts through mutual agreement.
"Motor Vehicles Act, 1988",16,Contractual,Uttar Pradesh,"Regulates motor vehicle laws, accidents, and compensation.",Addresses breach of contract and non-performance issues.
"Consumer Protection Act, 2019",419,Civil,Jharkhand,Protects consumer rights and addresses unfair trade practices.,"Deals with disputes related to property, contracts, and defamation."
"Criminal Procedure Code, 1973",290,Consumer Dispute,Delhi,Lays down the procedure for criminal trials and investigations.,Concerns cases of defective products and unfair trade practices.
"Protection of Women from Domestic Violence Act, 2005",382,Criminal,Uttar Pradesh,Provides protection and legal recourse for domestic abuse victims.,"Involves crimes such as theft, assault, and fraud."
"Criminal Procedure Code, 1973",44,Cybercrime,Uttarakhand,Lays down the procedure for criminal trials and investigations.,"Covers hacking, identity theft, and online fraud cases."
"Motor Vehicles Act, 1988",401,Domestic Violence,Chhattisgarh,"Regulates motor vehicle laws, accidents, and compensation.","Deals with physical, emotional, and financial abuse in families."
"Civil Procedure Code, 1908",217,RTI Cases,Gujarat,Governs civil litigation and procedures in Indian courts.,Involves cases where public authorities deny access to information.
"Right to Information Act, 2005",319,Religious Law,Punjab,Grants citizens access to government records and transparency.,Concerns legal matters governed by personal laws of different religions.
"National Green Tribunal Act, 2010",480,Criminal,Odisha,Establishes special courts for environmental disputes.,"Involves crimes such as theft, assault, and fraud."
"Banking Regulation Act, 1949",11,Labor Dispute,Assam,Governs banking policies and financial transactions.,Concerns workplace disputes between employees and employers.
"Right to Information Act, 2005",439,Domestic Violence,Delhi,Grants citizens access to government records and transparency.,"Deals with physical, emotional, and financial abuse in families."
"Income Tax Act, 1961",39,Corporate,Uttar Pradesh,Regulates taxation on income earned in India.,Involves legal matters related to businesses and trade practices.
"Criminal Procedure Code, 1973",147,Civil,Madhya Pradesh,Lays down the procedure for criminal trials and investigations.,"Deals with disputes related to property, contracts, and defamation."
"Civil Procedure Code, 1908",146,Civil,Maharashtra,Governs civil litigation and procedures in Indian courts.,"Deals with disputes related to property, contracts, and defamation."
"Prevention of Corruption Act, 1988",474,Juvenile Crime,Odisha,Deals with bribery and corruption among public officials.,Covers criminal offenses committed by minors.
"Environment Protection Act, 1986",140,Contractual,Uttarakhand,Lays down guidelines for environmental protection and pollution control.,Addresses breach of contract and non-performance issues.
"Right to Information Act, 2005",270,Environmental,Karnataka,Grants citizens access to government records and transparency.,Deals with violations of environmental laws and pollution control.
"Muslim Personal Law (Shariat) Application Act, 1937",220,Cybercrime,Haryana,Applies Islamic laws to Muslim personal matters.,"Covers hacking, identity theft, and online fraud cases."
"Contract Act, 1872",404,RTI Cases,Tamil Nadu,Governs contractual agreements and breach of contract cases.,Involves cases where public authorities deny access to information.
"Contract Act, 1872",351,Religious Law,Maharashtra,Governs contractual agreements and breach of contract cases.,Concerns legal matters governed by personal laws of different religions.
"Hindu Marriage Act, 1955",184,Environmental Violation,Jharkhand,"Regulates marriage, divorce, and inheritance in Hindu families.","Involves pollution, illegal deforestation, and climate-related cases."
"Factories Act, 1948",73,Consumer Dispute,Bihar,Ensures worker safety and regulates factory labor laws.,Concerns cases of defective products and unfair trade practices.
"Banking Regulation Act, 1949",77,Motor Accident,Andhra Pradesh,Governs banking policies and financial transactions.,Involves compensation claims for road accident victims.
"Arbitration and Conciliation Act, 1996",290,Anti-Corruption,Delhi,Regulates arbitration for dispute resolution outside courts.,Involves bribery and misuse of power in government offices.
"Information Technology Act, 2000",77,Criminal,Haryana,Addresses cybercrimes and electronic transactions.,"Involves crimes such as theft, assault, and fraud."
"Hindu Marriage Act, 1955",219,Corporate,Telangana,"Regulates marriage, divorce, and inheritance in Hindu families.",Involves legal matters related to businesses and trade practices.
"Criminal Procedure Code, 1973",66,Environmental,Tamil Nadu,Lays down the procedure for criminal trials and investigations.,Deals with violations of environmental laws and pollution control.
"Environment Protection Act, 1986",15,Arbitration,Telangana,Lays down guidelines for environmental protection and pollution control.,Settles disputes outside courts through mutual agreement.
"Civil Procedure Code, 1908",420,Labor Dispute,Bihar,Governs civil litigation and procedures in Indian courts.,Concerns workplace disputes between employees and employers.
"Banking Regulation Act, 1949",136,Business Law,Chhattisgarh,Governs banking policies and financial transactions.,Concerns legal regulations for business operations.
"Criminal Procedure Code, 1973",177,Motor Accident,Andhra Pradesh,Lays down the procedure for criminal trials and investigations.,Involves compensation claims for road accident victims.
"Environment Protection Act, 1986",49,Cybercrime,Tamil Nadu,Lays down guidelines for environmental protection and pollution control.,"Covers hacking, identity theft, and online fraud cases."
"Muslim Personal Law (Shariat) Application Act, 1937",343,Consumer Dispute,Kerala,Applies Islamic laws to Muslim personal matters.,Concerns cases of defective products and unfair trade practices.
"Consumer Protection Act, 2019",240,Religious Law,Chhattisgarh,Protects consumer rights and addresses unfair trade practices.,Concerns legal matters governed by personal laws of different religions.
"Hindu Marriage Act, 1955",73,Environmental,Delhi,"Regulates marriage, divorce, and inheritance in Hindu families.",Deals with violations of environmental laws and pollution control.
"Environment Protection Act, 1986",313,Motor Accident,Maharashtra,Lays down guidelines for environmental protection and pollution control.,Involves compensation claims for road accident victims.
"Motor Vehicles Act, 1988",395,Cybercrime,Andhra Pradesh,"Regulates motor vehicle laws, accidents, and compensation.","Covers hacking, identity theft, and online fraud cases."
"Environment Protection Act, 1986",193,Arbitration,Odisha,Lays down guidelines for environmental protection and pollution control.,Settles disputes outside courts through mutual agreement.
"Companies Act, 2013",38,Domestic Violence,Karnataka,Regulates corporate governance and business operations in India.,"Deals with physical, emotional, and financial abuse in families."
"Factories Act, 1948",472,Juvenile Crime,Uttar Pradesh,Ensures worker safety and regulates factory labor laws.,Covers criminal offenses committed by minors.
"Banking Regulation Act, 1949",200,Civil,Uttarakhand,Governs banking policies and financial transactions.,"Deals with disputes related to property, contracts, and defamation."
"Factories Act, 1948",104,Cybercrime,Punjab,Ensures worker safety and regulates factory labor laws.,"Covers hacking, identity theft, and online fraud cases."
"Hindu Marriage Act, 1955",151,Taxation,Bihar,"Regulates marriage, divorce, and inheritance in Hindu families.","Covers disputes regarding income tax, GST, and corporate taxation."
"Factories Act, 1948",174,Motor Accident,Maharashtra,Ensures worker safety and regulates factory labor laws.,Involves compensation claims for road accident victims.
"Prevention of Corruption Act, 1988",413,Family Law,Kerala,Deals with bribery and corruption among public officials.,"Handles disputes related to marriage, divorce, and custody."
"Arbitration and Conciliation Act, 1996",421,Business Law,Telangana,Regulates arbitration for dispute resolution outside courts.,Concerns legal regulations for business operations.
"Consumer Protection Act, 2019",307,Motor Accident,Bihar,Protects consumer rights and addresses unfair trade practices.,Involves compensation claims for road accident victims.
"Muslim Personal Law (Shariat) Application Act, 1937",76,Contractual,Telangana,Applies Islamic laws to Muslim personal matters.,Addresses breach of contract and non-performance issues.
"Muslim Personal Law (Shariat) Application Act, 1937",205,Civil,Odisha,Applies Islamic laws to Muslim personal matters.,"Deals with disputes related to property, contracts, and defamation."
"Civil Procedure Code, 1908",200,Environmental Violation,Andhra Pradesh,Governs civil litigation and procedures in Indian courts.,"Involves pollution, illegal deforestation, and climate-related cases."
"National Green Tribunal Act, 2010",157,Corporate,Tamil Nadu,Establishes special courts for environmental disputes.,Involves legal matters related to businesses and trade practices.
"Criminal Procedure Code, 1973",244,Taxation,Odisha,Lays down the procedure for criminal trials and investigations.,"Covers disputes regarding income tax, GST, and corporate taxation."
"Right to Information Act, 2005",347,Cybercrime,Delhi,Grants citizens access to government records and transparency.,"Covers hacking, identity theft, and online fraud cases."
"Muslim Personal Law (Shariat) Application Act, 1937",173,Contractual,Madhya Pradesh,Applies Islamic laws to Muslim personal matters.,Addresses breach of contract and non-performance issues.
"Companies Act, 2013",328,Business Law,Odisha,Regulates corporate governance and business operations in India.,Concerns legal regulations for business operations.
"Income Tax Act, 1961",167,Criminal,Rajasthan,Regulates taxation on income earned in India.,"Involves crimes such as theft, assault, and fraud."
"Information Technology Act, 2000",155,Banking Fraud,Gujarat,Addresses cybercrimes and electronic transactions.,Covers cases of loan defaults and financial misrepresentation.
"Contract Act, 1872",493,Civil,Jharkhand,Governs contractual agreements and breach of contract cases.,"Deals with disputes related to property, contracts, and defamation."
"Prevention of Corruption Act, 1988",326,Motor Accident,Chhattisgarh,Deals with bribery and corruption among public officials.,Involves compensation claims for road accident victims.
"Consumer Protection Act, 2019",477,Business Law,Madhya Pradesh,Protects consumer rights and addresses unfair trade practices.,Concerns legal regulations for business operations.
"Consumer Protection Act, 2019",23,Environmental,West Bengal,Protects consumer rights and addresses unfair trade practices.,Deals with violations of environmental laws and pollution control.
"Contract Act, 1872",312,Consumer Dispute,Assam,Governs contractual agreements and breach of contract cases.,Concerns cases of defective products and unfair trade practices.
"National Green Tribunal Act, 2010",355,Corporate,Rajasthan,Establishes special courts for environmental disputes.,Involves legal matters related to businesses and trade practices.
"Companies Act, 2013",371,Consumer Dispute,Jharkhand,Regulates corporate governance and business operations in India.,Concerns cases of defective products and unfair trade practices.
"Information Technology Act, 2000",131,Labor Dispute,Andhra Pradesh,Addresses cybercrimes and electronic transactions.,Concerns workplace disputes between employees and employers.
