ID,Advocate Name,Location,Experience (Years),Specialization,Notable Cases Handled,Fee (INR)
720,Adv. Kunal Mishra,Meerut,14,Anti-Corruption Law,Breach of Contracts,49687
721,Adv. Devansh Bhatia,Chennai,17,Immigration Law,Illegal Construction,44010
722,Adv. Deepa Malhotra,Bangalore,7,Narcotics Law,Sexual Harassment,42428
723,Adv. Aditya Tiwari,Bhopal,8,Family Law,Fraudulent Sales,29170
724,Adv. Ritu Soni,Madurai,10,Intellectual Property Law,Defective Products,35691
725,Adv. Ritika Jain,Asansol,18,Telecommunication Law,Government Scandals,21015
726,Adv. Om Prakash Saxena,Udaipur,10,Trademark & Patent Law,Fraudulent Insurance Claims,27499
727,Adv. Neha Bhatia,Ranchi,5,Public Interest Law,Libel,48630
728,Adv. Devansh Soni,Varanasi,5,Narcotics Law,Liability Cases,13140
729,Adv. Ritika Sharma,Kanpur,17,Debt Recovery Law,Bank Fraud,16268
730,Adv. Yogesh Kulkarni,Pune,13,Charity & NGO Law,Player Contracts,41582
731,Adv. Parth Bhatia,Varanasi,18,Narcotics Law,Defamation,22854
732,Adv. Akash Khanna,Coimbatore,12,White Collar Crimes,Wrong Diagnosis,9838
733,Adv. Yogesh Sinha,Hyderabad,13,Civil Rights Law,Film Contracts,44052
734,Adv. Rajeev Khanna,Varanasi,15,Charity & NGO Law,Illegal Construction,8683
735,Adv. Aditya Gupta,Mumbai,18,Defamation Law,Corporate Frauds,45492
736,Adv. Sanjana Dixit,Udaipur,15,Consumer Protection Law,Police Brutality,38981
737,Adv. Aarav Arora,Mumbai,13,Elder Law,Court-Martial Cases,6663
738,Adv. Akash Joshi,Guwahati,7,Aviation Law,Copyright Disputes,9907
739,Adv. Rashi Soni,Madurai,13,White Collar Crimes,Insider Trading,30262
740,Adv. Devansh Joshi,Solapur,13,Medical Negligence Law,Slander Cases,27810
741,Adv. Veena Kapoor,Solapur,17,Adoption & Surrogacy Law,RTI Cases,18513
742,Adv. Varun Malik,Hubli,18,Taxation Law,Business Disputes,20172
743,Adv. Swati Tiwari,Meerut,11,Family Law,Visa Fraud,41809
744,Adv. Aarav Narang,Kanpur,6,Adoption & Surrogacy Law,Illegal Possession,7333
745,Adv. Parth Sinha,Thiruvananthapuram,12,Real Estate Law,Land Acquisition,36456
746,Adv. Ishita Verma,Warangal,17,Constitutional Law,Breach of Contracts,7689
747,Adv. Pooja Kapoor,Thiruvananthapuram,17,Civil Rights Law,Domestic Violence,42181
748,Adv. Neha Gupta,Solapur,6,Election Law,NGO Registration,48780
749,Adv. Akash Malhotra,Bhopal,6,Defamation Law,Doping Cases,48248
750,Adv. Simran Bhatia,Coimbatore,9,Anti-Corruption Law,Custody Cases,22658
751,Adv. Deepa Kapoor,Chennai,8,Constitutional Law,Copyright Disputes,21944
752,Adv. Veena Sharma,Warangal,7,Banking & Finance Law,Fund Mismanagement,26676
753,Adv. Ishita Deshmukh,Chennai,11,Juvenile Law,Court-Martial Cases,43883
754,Adv. Kiran Soni,Varanasi,10,Civil Litigation,Drug Trafficking,13968
755,Adv. Raghav Rajput,Thiruvananthapuram,7,Consumer Protection Law,Drug Trafficking,39564
756,Adv. Ritu Mishra,Mysore,16,Adoption & Surrogacy Law,Loan Defaults,22757
757,Adv. Snehal Bhatia,Ahmedabad,12,Trademark & Patent Law,Passenger Rights,43271
758,Adv. Vikram Menon,Jaipur,7,Public Interest Law,Corporate Frauds,36430
759,Adv. Kiran Saxena,Surat,5,Immigration Law,GST Fraud,45613
760,Adv. Raghav Sen,Vijayawada,9,Election Law,Train Accidents,34074
761,Adv. Simran Agrawal,Surat,9,Banking & Finance Law,Data Breach,27202
762,Adv. Mohit Yadav,Jodhpur,16,Narcotics Law,Claim Disputes,9837
763,Adv. Anjali Deshmukh,Madurai,9,Anti-Corruption Law,Data Breach,22066
764,Adv. Ritu Mishra,Coimbatore,8,Real Estate Law,Online Fraud,23490
765,Adv. Deepa Mishra,Asansol,6,White Collar Crimes,Illegal Possession,28881
766,Adv. Om Prakash Pandey,Nagpur,9,Financial Law,Drug Trafficking,19468
767,Adv. Kunal Malik,Guwahati,10,Real Estate Law,Liability Cases,16050
768,Adv. Ritika Das,Delhi,18,Debt Recovery Law,Liability Cases,22614
769,Adv. Chetan Iyer,Coimbatore,11,Banking & Finance Law,Parental Rights,44766
770,Adv. Swati Vyas,Siliguri,9,Real Estate Law,Forged Cheques,17132
771,Adv. Ashwin Iyer,Coimbatore,5,International Law,Loan Disputes,24914
772,Adv. Snehal Soni,Chennai,15,Immigration Law,Income Tax Disputes,21481
773,Adv. Vikram Iyer,Bhopal,17,Corporate Law,Narcotics,17749
774,Adv. Sanjana Sharma,Ahmedabad,20,Insurance Law,Money Laundering Cases,7711
775,Adv. Suraj Sharma,Jaipur,19,Trademark & Patent Law,Unlawful Termination,39614
776,Adv. Ritika Gupta,Shimla,16,Charity & NGO Law,Fraudulent Sales,45489
777,Adv. Mohit Chauhan,Gorakhpur,6,Sports Law,Fraudulent Insurance Claims,47027
778,Adv. Sanjana Sharma,Guwahati,20,Animal Rights Law,Police Brutality,37418
779,Adv. Swati Tiwari,Gwalior,9,Cyber Crime Law,Insider Trading,36360
780,Adv. Mohit Bhatia,Kanpur,7,Gender Rights Law,Animal Cruelty,5359
781,Adv. Anjali Sinha,Jaipur,5,Cyber Law,Bank Fraud,12468
782,Adv. Anjali Kaur,Coimbatore,15,Telecommunication Law,Forged Cheques,40266
783,Adv. Rahul Menon,Gorakhpur,19,Land & Property Law,Landlord-Tenant Issues,31604
784,Adv. Priya Mishra,Hubli,16,Trademark & Patent Law,Slander Cases,9372
785,Adv. Alok Rana,Patna,9,Immigration Law,Liability Cases,43039
786,Adv. Pooja Tiwari,Bareilly,14,Cyber Law,Court-Martial Cases,45299
787,Adv. Aarav Saxena,Jaipur,10,Military Law,Deforestation Cases,16489
788,Adv. Anjali Deshmukh,Bhopal,14,Immigration Law,Animal Cruelty,5282
789,Adv. Kunal Malik,Asansol,12,Debt Recovery Law,Bank Fraud,11957
790,Adv. Tarun Choudhary,Udaipur,8,Railway Law,Property Disputes,44024
791,Adv. Bhavna Pandey,Goa,13,Railway Law,Privacy Issues,33987
792,Adv. Raghav Pandey,Vadodara,18,Financial Law,Tax Evasion,41004
793,Adv. Rajeev Bhasin,Asansol,17,Civil Litigation,Workplace Harassment,30242
794,Adv. Chetan Iyer,Bangalore,12,Insurance Law,Electoral Malpractices,10778
795,Adv. Sanjana Rajput,Ahmedabad,20,Media & Entertainment Law,Custody Cases,13797
796,Adv. Tarun Kapoor,Kanpur,9,Business Law,Money Laundering,31959
797,Adv. Simran Sharma,Hubli,20,Family Law,Rent Disputes,13693
798,Adv. Deepa Kapoor,Thiruvananthapuram,15,Narcotics Law,Visa Fraud,44295
799,Adv. Manish Reddy,Vijayawada,15,Intellectual Property Law,Loan Disputes,32455
800,Adv. Sneha Mishra,Shimla,9,Adoption & Surrogacy Law,Road Accidents,28257
801,Adv. Simran Rajput,Lucknow,14,International Law,Privacy Issues,37180
802,Adv. Alok Vyas,Gwalior,12,Financial Law,Player Contracts,13690
803,Adv. Veena Bhatia,Allahabad,9,Elder Law,Tax Evasion,26921
804,Adv. Anjali Rajput,Kanpur,17,Adoption & Surrogacy Law,Government Scandals,41674
805,Adv. Kavita Narang,Surat,15,Media & Entertainment Law,Film Contracts,8578
806,Adv. Kavita Malik,Pune,18,Military Law,Illegal Possession,47157
807,Adv. Aarav Verma,Hyderabad,5,Adoption & Surrogacy Law,Narcotics,5325
808,Adv. Parth Mehta,Kolkata,17,White Collar Crimes,Human Rights Violations,10404
809,Adv. Snehal Narang,Thiruvananthapuram,19,Family Law,Fund Mismanagement,46730
810,Adv. Nidhi Verma,Amritsar,5,Intellectual Property Law,Custody Cases,12739
811,Adv. Kiran Narang,Noida,18,Narcotics Law,PILs,16990
812,Adv. Suraj Soni,Mumbai,8,Environmental Law,Financial Frauds,34907
813,Adv. Ishita Kapoor,Shimla,20,Adoption & Surrogacy Law,Rent Disputes,22044
814,Adv. Rajeev Patel,Hubli,12,Business Law,Data Breach,32196
815,Adv. Swati Choudhary,Warangal,9,Immigration Law,Loan Defaults,17687
816,Adv. Neha Patel,Chandigarh,14,Corporate Law,Privacy Issues,29405
817,Adv. Ishita Saxena,Gorakhpur,16,Sports Law,GST Fraud,40358
818,Adv. Dheeraj Mishra,Bareilly,16,Immigration Law,Animal Cruelty,40720
819,Adv. Om Prakash Malhotra,Bangalore,9,Intellectual Property Law,Alimony Cases,21425
820,Adv. Ishita Mishra,Vadodara,12,Taxation Law,Visa Fraud,45259
821,Adv. Bhavna Mishra,Goa,19,Cyber Law,Doping Cases,48623
822,Adv. Ajay Sinha,Jaipur,10,Military Law,Bank Frauds,24600
823,Adv. Sneha Deshmukh,Ranchi,16,Environmental Law,Claim Disputes,26551
824,Adv. Sneha Verma,Meerut,16,Trademark & Patent Law,Child Crime Cases,5709
825,Adv. Divya Soni,Indore,8,Gender Rights Law,Corporate Lawsuits,46619
826,Adv. Nitin Iyer,Delhi,17,Medical Negligence Law,Corporate Lawsuits,43269
827,Adv. Om Prakash Choudhary,Mysore,8,Criminal Law,Bank Frauds,46300
828,Adv. Suraj Jain,Madurai,11,Defamation Law,Mergers,39668
829,Adv. Priya Rajput,Chandigarh,6,Elder Law,Government Accountability,26411
830,Adv. Neha Sinha,Bhopal,17,Cyber Law,Unlawful Detention,44524
831,Adv. Veena Rana,Solapur,20,Election Law,Film Contracts,46231
832,Adv. Rashi Gupta,Hubli,18,Charity & NGO Law,Insider Trading,29868
833,Adv. Ashwin Verma,Gwalior,9,Real Estate Law,Privacy Issues,12332
834,Adv. Dheeraj Kapoor,Noida,16,Adoption & Surrogacy Law,Visa Fraud,20475
835,Adv. Sunita Malhotra,Noida,10,Environmental Law,Narcotics,33647
836,Adv. Chetan Iyer,Allahabad,13,Arbitration & Mediation,Rent Disputes,29083
837,Adv. Kavita Deshmukh,Pune,10,Telecommunication Law,Property Disputes,16565
838,Adv. Deepa Sen,Bangalore,7,Family Law,Malpractice,42154
839,Adv. Sneha Narang,Hubli,12,Insurance Law,Divorce,45498
840,Adv. Kavita Chauhan,Mumbai,6,Trademark & Patent Law,Corporate Lawsuits,15349
841,Adv. Snehal Bhardwaj,Siliguri,14,Telecommunication Law,Child Custody,18054
842,Adv. Swati Bhasin,Vijayawada,15,Debt Recovery Law,Homicide,27380
843,Adv. Kunal Gupta,Jodhpur,14,Election Law,Illegal Possession,16284
844,Adv. Mohit Verma,Nashik,7,Civil Rights Law,Animal Cruelty,20995
845,Adv. Rajeev Menon,Bangalore,16,Trademark & Patent Law,Loan Defaults,13233
846,Adv. Suraj Mishra,Ranchi,14,Gender Rights Law,Income Tax Disputes,17031
847,Adv. Aditya Bhasin,Thiruvananthapuram,6,Public Interest Law,Income Tax Disputes,30278
848,Adv. Pooja Chatterjee,Indore,6,Charity & NGO Law,Bribery,43208
849,Adv. Akash Kapoor,Ranchi,5,Constitutional Law,Air Accidents,49574
850,Adv. Ishita Saxena,Ahmedabad,19,Media & Entertainment Law,Police Brutality,6451
851,Adv. Aarav Menon,Hyderabad,10,Arbitration & Mediation,Money Laundering,7061
852,Adv. Neha Rana,Chandigarh,15,Insurance Law,GST Fraud,34014
853,Adv. Parth Iyer,Udaipur,15,Arbitration & Mediation,Loan Defaults,24170
854,Adv. Vikram Agrawal,Surat,18,Elder Law,RTI Cases,32553
855,Adv. Tarun Das,Asansol,14,Cyber Law,Voting Rights,10538
856,Adv. Priya Sharma,Meerut,20,Sports Law,Pollution Violations,25691
857,Adv. Sunita Khanna,Kanpur,19,Defamation Law,Eviction Cases,47860
858,Adv. Kiran Deshmukh,Allahabad,8,Intellectual Property Law,Wrong Diagnosis,22074
859,Adv. Aditya Reddy,Agra,20,Environmental Law,Discrimination Cases,14869
860,Adv. Ishita Kapoor,Mumbai,18,Constitutional Law,Corporate Frauds,39682
861,Adv. Priya Malhotra,Thiruvananthapuram,7,Election Law,Court-Martial Cases,14864
862,Adv. Mohit Roy,Goa,10,Military Law,Contract Breaches,36283
863,Adv. Yogesh Iyer,Amritsar,20,Railway Law,Loan Defaults,26323
864,Adv. Neha Kaur,Bareilly,20,Family Law,Voting Rights,43923
865,Adv. Veena Yadav,Chandigarh,18,Railway Law,Visa Fraud,24596
866,Adv. Bhavna Mishra,Patna,10,Animal Rights Law,Debt Negotiations,23484
867,Adv. Mohit Dixit,Goa,7,Civil Litigation,Drug Trafficking,47585
868,Adv. Akash Saxena,Mysore,9,White Collar Crimes,Asylum Cases,14542
869,Adv. Ritika Chatterjee,Kanpur,7,Charity & NGO Law,Land Acquisition,34732
870,Adv. Sneha Verma,Vadodara,20,Civil Litigation,Patent Infringements,27514
871,Adv. Nitin Sen,Chandigarh,6,Elder Law,Train Accidents,45296
872,Adv. Anjali Chauhan,Bhopal,11,Employment & Labor Law,Defamation,43138
873,Adv. Rohan Sharma,Vijayawada,17,Insurance Law,GST Fraud,11023
874,Adv. Aditya Arora,Vadodara,5,Land & Property Law,Poaching Cases,7092
875,Adv. Tarun Narang,Ahmedabad,6,Public Interest Law,Parental Rights,47121
876,Adv. Megha Dixit,Siliguri,18,Environmental Law,Defective Products,45585
877,Adv. Yogesh Bhatia,Solapur,16,Sports Law,RTI Cases,19621
878,Adv. Snehal Rajput,Bhopal,5,Anti-Corruption Law,RTI Cases,46463
879,Adv. Rohan Khandelwal,Ahmedabad,7,Business Law,Drug Trafficking,13985
880,Adv. Deepa Kaur,Guwahati,15,Railway Law,Copyright Disputes,24461
881,Adv. Snehal Joshi,Amritsar,13,Banking Fraud Law,Patent Infringements,46286
882,Adv. Alok Malik,Goa,18,Arbitration & Mediation,Government Accountability,5225
883,Adv. Rashi Roy,Jaipur,9,Intellectual Property Law,Patent Infringements,35801
884,Adv. Kiran Rajput,Guwahati,6,Adoption & Surrogacy Law,Juvenile Justice,38278
885,Adv. Nidhi Gupta,Varanasi,18,Cyber Crime Law,Contract Breaches,31224
886,Adv. Pooja Rajput,Indore,17,Intellectual Property Law,Illegal Construction,27893
887,Adv. Varun Kapoor,Solapur,9,Media & Entertainment Law,Bank Frauds,27039
888,Adv. Rajeev Choudhary,Hyderabad,9,Narcotics Law,Loan Defaults,47748
889,Adv. Tarun Mishra,Siliguri,14,Environmental Law,Defective Products,8984
890,Adv. Pooja Verma,Vijayawada,5,Narcotics Law,Passenger Rights,10977
891,Adv. Ritu Agrawal,Mumbai,10,Sports Law,Corporate Frauds,14137
892,Adv. Devansh Chatterjee,Jodhpur,16,Employment & Labor Law,PILs,40875
893,Adv. Vikram Khandelwal,Warangal,20,White Collar Crimes,Mergers,30249
894,Adv. Manish Soni,Delhi,11,Animal Rights Law,Player Contracts,11213
895,Adv. Aarav Narang,Chennai,10,Telecommunication Law,Eviction Cases,24081
896,Adv. Aditya Chatterjee,Jaipur,13,Medical Negligence Law,Online Fraud,44010
897,Adv. Swati Jain,Mysore,12,Business Law,Deforestation Cases,16059
898,Adv. Arjun Saxena,Jodhpur,5,Civil Litigation,Slander Cases,30848
899,Adv. Sanjana Sinha,Siliguri,15,Banking Fraud Law,Discrimination Cases,43281
900,Adv. Priya Vyas,Patna,7,Family Law,RTI Cases,26832
901,Adv. Ritu Nair,Thiruvananthapuram,18,Banking Fraud Law,Counterfeit Cases,32774
902,Adv. Varun Khandelwal,Thiruvananthapuram,18,Debt Recovery Law,Loan Defaults,25476
903,Adv. Raghav Malik,Solapur,17,Employment & Labor Law,RTI Cases,31558
904,Adv. Divya Patel,Shimla,11,Military Law,Illegal Possession,20045
905,Adv. Sneha Khandelwal,Bhopal,20,Banking Fraud Law,GST Fraud,41231
906,Adv. Ritu Yadav,Thiruvananthapuram,16,Transportation Law,Narcotics,6756
907,Adv. Varun Verma,Indore,6,Business Law,Poaching Cases,37353
908,Adv. Sunita Pillai,Bangalore,17,Elder Law,Train Accidents,43730
909,Adv. Mohit Chauhan,Nagpur,18,Civil Litigation,Court-Martial Cases,47177
910,Adv. Parth Soni,Chandigarh,17,Constitutional Law,Fraudulent Sales,30934
911,Adv. Raghav Malik,Ahmedabad,5,Corporate Law,Dispute Settlements,21629
912,Adv. Parth Mishra,Delhi,6,Constitutional Law,Police Brutality,39126
913,Adv. Aarav Verma,Indore,18,Election Law,Libel,17210
914,Adv. Pooja Deshmukh,Mysore,16,Aviation Law,Drug Trafficking,43696
915,Adv. Tarun Deshmukh,Bhavnagar,20,Family Law,Land Grabbing,18164
916,Adv. Arjun Malhotra,Indore,11,Telecommunication Law,ISP Disputes,43306
917,Adv. Aarav Mishra,Gwalior,10,Civil Litigation,Privacy Issues,26840
918,Adv. Rashi Tiwari,Pune,16,Business Law,Corporate Lawsuits,5746
919,Adv. Kavita Gupta,Hubli,16,Arbitration & Mediation,Forged Cheques,14249
920,Adv. Snehal Arora,Hyderabad,14,Gender Rights Law,Asylum Cases,6130
921,Adv. Rahul Bhatia,Patna,18,Banking Fraud Law,Bank Frauds,6255
922,Adv. Deepa Kapoor,Varanasi,15,Military Law,Discrimination Cases,26802
923,Adv. Deepa Pillai,Bangalore,15,Railway Law,Income Tax Disputes,28346
924,Adv. Ritu Deshmukh,Thiruvananthapuram,11,Banking Fraud Law,Contract Breaches,25204
925,Adv. Priya Sharma,Kolkata,15,Financial Law,Mergers,22018
926,Adv. Ishita Malhotra,Kolkata,9,Media & Entertainment Law,Visa Fraud,8969
927,Adv. Neha Iyer,Varanasi,7,Civil Rights Law,Eviction Cases,25987
928,Adv. Kiran Yadav,Patna,16,Intellectual Property Law,Dispute Settlements,21584
929,Adv. Nitin Deshmukh,Ahmedabad,9,Family Law,NGO Registration,6489
930,Adv. Ritu Mehta,Gorakhpur,15,Taxation Law,Bank Frauds,18580
931,Adv. Aditya Tiwari,Varanasi,12,Banking & Finance Law,Juvenile Justice,48171
932,Adv. Tanvi Vyas,Bhopal,20,Human Rights Law,Malpractice,8079
933,Adv. Rajeev Malik,Bangalore,5,Environmental Law,Property Disputes,49292
934,Adv. Manish Deshmukh,Nashik,18,Arbitration & Mediation,Debt Negotiations,14108
935,Adv. Veena Menon,Bhopal,8,Charity & NGO Law,Libel,10239
936,Adv. Arjun Menon,Amritsar,12,Cyber Crime Law,Debt Negotiations,14551
937,Adv. Kavita Sinha,Warangal,5,Debt Recovery Law,Forged Cheques,44962
938,Adv. Om Prakash Iyer,Hubli,20,Narcotics Law,Foreign Trade Disputes,49657
939,Adv. Rashi Gupta,Surat,17,Constitutional Law,Electoral Malpractices,39405
940,Adv. Nidhi Iyer,Nashik,11,Adoption & Surrogacy Law,Rent Disputes,10603
941,Adv. Aarav Roy,Siliguri,12,Constitutional Law,Mutual Divorce,34366
942,Adv. Nitin Khandelwal,Varanasi,19,Financial Law,Defamation,32475
943,Adv. Akash Verma,Guwahati,10,Consumer Protection Law,Breach of Contracts,25803
944,Adv. Arjun Vyas,Hyderabad,8,Narcotics Law,Contract Breaches,8862
945,Adv. Chetan Kulkarni,Vijayawada,18,Anti-Corruption Law,Liability Cases,19522
946,Adv. Neha Kapoor,Lucknow,20,Telecommunication Law,Money Laundering Cases,45290
947,Adv. Nitin Sharma,Vijayawada,12,Banking Fraud Law,Fundamental Rights,31243
948,Adv. Varun Roy,Bangalore,5,Banking & Finance Law,Cybercrime,39175
949,Adv. Sunita Chopra,Nagpur,19,Public Interest Law,Doping Cases,22037
950,Adv. Ishita Vyas,Ranchi,20,Financial Law,Land Acquisition,49059
951,Adv. Vikram Gupta,Coimbatore,8,Aviation Law,Narcotics,47479
952,Adv. Nitin Mishra,Gwalior,16,Family Law,Defective Products,35729
953,Adv. Aarav Jain,Siliguri,20,Consumer Protection Law,Court-Martial Cases,31068
954,Adv. Neha Sharma,Patna,15,Juvenile Law,Cybercrime,41246
955,Adv. Suraj Choudhary,Allahabad,6,Media & Entertainment Law,Mergers,10522
956,Adv. Varun Chatterjee,Madurai,19,Consumer Protection Law,Hacking,32669
957,Adv. Veena Roy,Coimbatore,14,Adoption & Surrogacy Law,Eviction Cases,10596
958,Adv. Neha Chatterjee,Siliguri,5,Juvenile Law,Child Crime Cases,43507
959,Adv. Ramesh Patel,Chandigarh,18,Taxation Law,Loan Defaults,31724
960,Adv. Yogesh Reddy,Lucknow,13,Telecommunication Law,Train Accidents,30376
961,Adv. Rahul Das,Meerut,19,Intellectual Property Law,Police Brutality,30734
962,Adv. Vikram Mishra,Udaipur,12,Constitutional Law,Visa Fraud,16177
963,Adv. Kiran Patel,Amritsar,5,Elder Law,Slander Cases,40894
964,Adv. Megha Verma,Meerut,16,Employment & Labor Law,Claim Disputes,9914
965,Adv. Suraj Malik,Udaipur,18,Animal Rights Law,Property Disputes,34837
966,Adv. Ishita Kulkarni,Vadodara,9,Sports Law,Money Laundering,19768
967,Adv. Sneha Gupta,Meerut,6,Human Rights Law,GST Fraud,27048
968,Adv. Tanvi Pandey,Indore,17,Adoption & Surrogacy Law,Loan Defaults,44676
969,Adv. Sunita Malhotra,Goa,7,Telecommunication Law,Loan Disputes,12935
970,Adv. Kunal Chauhan,Hyderabad,11,Corporate Law,Asylum Cases,9329
971,Adv. Snehal Yadav,Delhi,5,Financial Law,PILs,45429
972,Adv. Kiran Mishra,Hyderabad,9,Corporate Law,Property Disputes,49731
973,Adv. Neha Sen,Jodhpur,13,Employment & Labor Law,Domestic Violence,24321
974,Adv. Sunita Khanna,Allahabad,20,Charity & NGO Law,Defamation,37662
975,Adv. Dheeraj Jain,Meerut,9,Banking & Finance Law,LGBTQ+ Rights Cases,32999
976,Adv. Anjali Choudhary,Jodhpur,18,Banking & Finance Law,Hacking,30798
977,Adv. Kunal Iyer,Asansol,17,Gender Rights Law,Rent Disputes,16697
978,Adv. Pooja Kapoor,Noida,11,Elder Law,Income Tax Disputes,21135
979,Adv. Kavita Jain,Pune,16,Environmental Law,Road Accidents,43870
980,Adv. Sunita Sinha,Patna,18,Aviation Law,Online Harassment,39560
981,Adv. Ramesh Sen,Bhopal,13,Consumer Protection Law,Land Acquisition,33373
982,Adv. Raghav Agrawal,Mysore,13,Environmental Law,GST Fraud,16358
983,Adv. Rajeev Mishra,Hubli,18,Arbitration & Mediation,Malpractice,18070
984,Adv. Parth Mishra,Meerut,16,Corporate Law,Workplace Harassment,41921
985,Adv. Ramesh Sinha,Ranchi,17,Media & Entertainment Law,Money Laundering,26037
986,Adv. Yogesh Gupta,Pune,13,Family Law,Discrimination Cases,45970
987,Adv. Megha Tiwari,Amritsar,11,Cyber Crime Law,Mutual Divorce,8523
988,Adv. Nidhi Choudhary,Varanasi,16,Immigration Law,Alimony Cases,40716
989,Adv. Anjali Gupta,Gorakhpur,16,Aviation Law,Film Contracts,26015
990,Adv. Swati Tiwari,Jaipur,19,Military Law,Defamation,27971
991,Adv. Ramesh Iyer,Bhavnagar,18,Aviation Law,Juvenile Justice,47952
992,Adv. Snehal Sharma,Guwahati,11,Defamation Law,Homicide,19442
993,Adv. Ajay Mishra,Asansol,12,Elder Law,Asylum Cases,38721
994,Adv. Nidhi Reddy,Shimla,20,Insurance Law,Insider Trading,44388
995,Adv. Divya Saxena,Jodhpur,5,Criminal Law,Forged Cheques,29961
996,Adv. Divya Bhatia,Bareilly,5,Narcotics Law,Property Disputes,22347
997,Adv. Kiran Kapoor,Solapur,15,Defamation Law,Forged Cheques,41729
998,Adv. Ritu Kaur,Coimbatore,13,International Law,Breach of Contracts,34539
999,Adv. Dheeraj Menon,Bareilly,6,International Law,Land Grabbing,32244
1000,Adv. Rajeev Vyas,Gorakhpur,20,Civil Litigation,Copyright Disputes,37337
1001,Adv. Akash Menon,Coimbatore,13,Railway Law,Electoral Malpractices,20084
1002,Adv. Rashi Chatterjee,Jodhpur,15,Elder Law,PILs,38011
1003,Adv. Alok Patel,Allahabad,12,Family Law,PILs,40166
1004,Adv. Bhavna Sharma,Vadodara,16,Taxation Law,Poaching Cases,22137
1005,Adv. Dheeraj Joshi,Goa,17,Anti-Corruption Law,Child Crime Cases,17253
1006,Adv. Nitin Sen,Amritsar,17,Business Law,Breach of Contracts,17909
1007,Adv. Ishita Chopra,Meerut,10,Intellectual Property Law,Libel,28669
1008,Adv. Megha Kapoor,Goa,14,Animal Rights Law,Land Acquisition,23277
1009,Adv. Divya Reddy,Siliguri,11,White Collar Crimes,Train Accidents,39340
1010,Adv. Devansh Khandelwal,Gwalior,20,Corporate Law,Asylum Cases,45075
1011,Adv. Deepa Chauhan,Gorakhpur,11,Transportation Law,Patent Infringements,34477
1012,Adv. Alok Joshi,Indore,6,Consumer Protection Law,Liability Cases,49368
1013,Adv. Divya Saxena,Chennai,13,Real Estate Law,Money Laundering,35807
1014,Adv. Kunal Das,Siliguri,8,Employment & Labor Law,Juvenile Justice,17631
1015,Adv. Yogesh Sen,Jaipur,12,Anti-Corruption Law,Fraudulent Insurance Claims,15843
1016,Adv. Rahul Yadav,Hubli,16,Defamation Law,Land Acquisition,26234
1017,Adv. Snehal Kapoor,Thiruvananthapuram,6,Taxation Law,Loan Defaults,45375
1018,Adv. Sneha Kapoor,Delhi,10,Juvenile Law,Extradition,11349
1019,Adv. Divya Das,Nagpur,20,Financial Law,Loan Disputes,38704
1020,Adv. Akash Malik,Jaipur,14,Employment & Labor Law,Corporate Frauds,35871
1021,Adv. Sandeep Sinha,Udaipur,12,Gender Rights Law,Land Acquisition,37309
1022,Adv. Rohan Arora,Bareilly,11,Election Law,Property Disputes,32540
1023,Adv. Megha Chatterjee,Bareilly,7,Financial Law,Libel,40427
1024,Adv. Kunal Soni,Solapur,17,Public Interest Law,NGO Registration,26058
1025,Adv. Sanjana Sinha,Kanpur,13,Defamation Law,Passenger Rights,18429
1026,Adv. Alok Tiwari,Udaipur,18,Public Interest Law,Asylum Cases,39152
1027,Adv. Rohan Mishra,Madurai,10,Aviation Law,Fundamental Rights,34560
1028,Adv. Priya Iyer,Thiruvananthapuram,11,Insurance Law,Film Contracts,25215
1029,Adv. Rahul Saxena,Hyderabad,17,Cyber Law,Parental Rights,33902
1030,Adv. Vikram Chauhan,Bhavnagar,13,Telecommunication Law,Retirement Benefits,29234
1031,Adv. Sunita Khandelwal,Bangalore,17,Constitutional Law,Illegal Possession,35195
1032,Adv. Sunita Khandelwal,Delhi,19,Anti-Corruption Law,Financial Frauds,10851
1033,Adv. Ashwin Khandelwal,Bangalore,6,Financial Law,Custody Cases,21952
1034,Adv. Sanjana Saxena,Goa,20,Anti-Corruption Law,Service Disputes,25287
1035,Adv. Swati Roy,Mumbai,12,Taxation Law,Eviction Cases,36488
1036,Adv. Tanvi Narang,Shimla,14,Banking & Finance Law,Defective Products,48491
1037,Adv. Devansh Das,Thiruvananthapuram,11,Animal Rights Law,Doping Cases,14663
1038,Adv. Ritika Soni,Bangalore,9,Criminal Law,Rent Disputes,38537
1039,Adv. Bhavna Nair,Hubli,13,Insurance Law,Film Contracts,24366
1040,Adv. Aarav Yadav,Ranchi,9,Immigration Law,Corporate Lawsuits,43378
1041,Adv. Neha Kapoor,Noida,14,Railway Law,Breach of Contracts,18871
1042,Adv. Kunal Kaur,Agra,17,Juvenile Law,Mergers,36989
1043,Adv. Aarav Kaur,Kanpur,14,Arbitration & Mediation,Rent Disputes,42415
1044,Adv. Kunal Mishra,Amritsar,18,Charity & NGO Law,Mutual Divorce,9344
1045,Adv. Alok Pillai,Chandigarh,10,Aviation Law,Libel,29905
1046,Adv. Rahul Choudhary,Warangal,5,Consumer Protection Law,Rent Disputes,25514
1047,Adv. Raghav Kaur,Bhopal,15,Constitutional Law,Business Disputes,32202
1048,Adv. Rahul Agrawal,Gorakhpur,20,Insurance Law,Eviction Cases,28600
1049,Adv. Raghav Nair,Surat,8,White Collar Crimes,Domestic Violence,22744
